,nome,idade,cpf,altura,endereco,data_nascimento,cidade,estado,pais
0,Cecilia Guerra,45,029.143.675-70,1.91,"Alameda Otávio Monteiro
Coração Eucarístico
17599852 Sá / PE",23/05/2005,Pereira,Acre,Brasil
1,Isaac Araújo,28,084.267.135-80,1.69,"Ladeira Duarte, 5
Dom Joaquim
27882-875 Martins da Praia / RR",09/12/1976,Sousa de Goiás,Pernambuco,Brasil
2,Ravi Lucca Albuquerque,57,239.456.780-56,1.93,"Lagoa Maria Alice Carvalho, 7
Saudade
90973-910 Ramos Grande / RR",27/01/1994,Duarte da Mata,Tocantins,Brasil
3,Mariah Leão,79,067.341.825-17,1.89,"Alameda Carvalho
Laranjeiras
13522044 Campos de Minas / MT",06/08/1977,Almeida de Minas,São Paulo,Brasil
4,Ágatha Nogueira,26,953.178.204-05,1.71,"Trevo Casa Grande, 3
Vila Maloca
24253-597 Mendonça de Goiás / AL",17/07/1973,Vargas,Ceará,Brasil
5,Cauê Sampaio,43,102.376.495-43,1.88,"Rodovia da Costa, 8
Jardim Vitoria
87904-010 Viana do Norte / SP",15/03/1950,Siqueira,Roraima,Brasil
6,Sophie Caldeira,20,460.127.938-04,1.61,"Passarela de Pires, 144
Milionario
31889832 Costela do Galho / AC",22/07/1949,da Conceição de Goiás,Mato Grosso do Sul,Brasil
7,Bryan Campos,32,783.509.421-50,1.69,"Viaduto de da Luz, 551
Nova Granada
54047-583 Silveira do Galho / AL",08/04/2007,Mendes de Goiás,Paraná,Brasil
8,Sra. Maria Eduarda Azevedo,37,264.718.930-78,1.56,"Rodovia Moraes, 901
União
99809203 Santos / RO",20/04/1952,Vasconcelos,Sergipe,Brasil
9,Brenda Jesus,23,934.850.276-00,1.93,"Fazenda Porto, 49
Atila De Paiva
72030724 Moraes Alegre / PA",21/02/1997,Costa,Piauí,Brasil
